internal_label,location,asin
190KKU QB700 Grey 40 Pitcher,1254 small corner imm rt of main WH office door; 247/MFR,B0CD68Y58R
360KKU700 QB700 Black 40 Pitcher,S/N,B07YZ6GMBH
253KKU BL200 Green 40 Pitcher,1254 2nd aisle near pen room,B07Z46LNH3
245KKU BL200 Yellow 40 Pitcher,小房间,B0BZ9K69PY
331KKUN207CN BL200 Red 40 Pitcher,小房间,B07Z4MQD9C
281KKU BL200 Black 40 Pitcher,Mom/Dad,B0BNGNH2CX
269KKU BL200 Blue 48 Pitcher,1234 A2-Aisleish; 279 WH last aisle closest to 285,B07Z46HPQV
273KKU BL200 Blue 40 Pitcher,Mom/Dad,B07Z4KPK8D
181KKU QB700 Red -- MB,小房间 (like 189KKU),B07YYN8TPM
246KKU BL200 Yellow 48 Pitcher,pallet @ 1254 back aisle near 910 dust bins,B07Z4GN6GT
254KKU BL200 Green 48 Pitcher,16+ @ s/n; pallet @ 247,B07Z3JBGL3
332KKU207CN BL200 Red 48 Pitcher,279 room by restroom with broken light,B07Z463JHC
212/293KKU BL200 White 48 Pitcher,"S/N, Shumin, W-B9?; 1254 D2ish L1 somewhere in that area",B0BP31R446
174KKU QB700 Teal 40 Pitcher,"W-A17, 247, S/N 2 loose",B0CD3GK2LS
258KKU,10 W-B9; 2 boxes? @ 20279 small room near restroom+mom ghd rack,
NV22 Purple  Brush,Ben,B01BCMQ0S0
119FFJ UV440 Gray  Brush,Ben,B011W4SZ2M
229FFJV300 NR96 Ultra-lite  Brush,Ben,B01373S2CE
320fp100 DUST BIN,TR-A5-No pallet,
220FFJ44 NOZZLE Purple Same as for nv22,TR-A5-No pallet,
191FPV330 NOZZLE GREY,TR-A5-no pallet,
1012S0 Stick Handle/Tube Purple,TR-A5-no pallet,
338FFJ472 NOZZLE PURPLE 大紫,TR-A5-No pallet,
AMC07 HEAT PAD OVAL,Photo room--,
AMC02 LOAF PAD,Photo Room--,
KWSPTL102GN SPATULA,TL-A2-P12,
452FFJV390 HOSE same as for 200 hose,TL-A2-P12,
466FFJV390 DUST BIN,TL-A2-P12,
"XL754 BELT FOR EP754; EP754c, NR90C",TL-A2-P12,
441FFJ60 STICK RED,TL-A2-P12,
AMC15 SPOON BLACK,TL-A2-P12,
AMC13 GRILL COVER,TL-A2-P12,
539FFJ912 straightner,TL-A2-P12,
1167FT950 HOSE HANDLE,TL-A2-P12,
XSTIK6002 STICK TEAL GREEN,TL-A2-P12,
AMC03 SILICON PETITE MUFFIN TRAY  BULK SALE,TL-A2-P12,
AMC20 AIRFRY TRAY,TL-A2-P12,
AMC14 SPATULA,TL-A2-P12,
192FFJ NOZZLE,TL-A2-P12,
824FFJ510 STICK GREEN,TL-A2-P12,
123KY1000A BRUSH ROLL YELLOW,TL-A2-P12,
112KY1000 Brushroll Cover,TL-A2-P12,
1125FT317 DUST BIN,TL-A2-P12,
HE4FKBAS FILTER,TL-A2-P11,
537FFJ351 NOZZLE BLACK Zero M,TL-A2-P11,
397FFJH380 NOZZLE BLACK,TL-A2-P11,
1209FT910 NOZZLE red,TL-A2-P11,
1213FC96 HOSE HANDLE,TL-A2-P11,
498FFJ560 STICK BLUE,TL-A2-P11,
433KKU773 MOTOR BASE,TR-A5-No paller,
103FY300 cook n crisp basket 6.5qt  OP300/OP301,TL-A2-P11,
102JN550 dual zone crisper plate,TL-A2-P11,
436FFJ71 NOZZLE BLACK,TL-A2-P11,
XMBBN750 MOTOR BASE,TL-A2-P11,
HVMHT300,TL-A2-P11,
194FPV330 HF HERO ATTACHMENT,TL-A2-P11,
XHDBIF200 HANDHELD HOUSING,TL-A2-P11,
XPODZU621 Replacement POD,TL-A2-P11,
100KNK80 GLASS JAR NO LID,TL-A2-P11,
225FJV300 Motorized brush Orange,TL-A2-P9,
114FLI400 Brush Purple,TL-A2-P9,
XSTENER10NS Multi floor cleaner 胖,TL-A2-P9,
503KKU487 MOTOR BASE,TL-A2-P9,
224FFJ480 Motorized brush,TL-A2-P9,
XHDBNV830 Replacement POD FOR NV830,TL-A2-P9,
HE601 6 fan air purifier,TL-A2-P9,
1192FT912 soft brush roll,TL-A2-P8,
XPODNV683 POD ASSEMBLY NV683 BLUE,TL-A2-P8,
under appliance wand for 400 oval opening,TL-A2-P8,
203kku 40oz for bl200,TL-A2-P8,
Charge base Red,TL-A2-P8,
353KKU800 Blade for bl800 Maybe same as 363kku,TL-A2-P8,
112KKWCF11 Coffee filter,TL-A2-P8,
XSK642W2 chue lid blade combo,TL-A2-P8,
LA502 NOZZLE,TL-A2-P8,
315FP400 Motorized brush,TL-A2-P8,
739FFJ725 NOZZLE BLACK,TL-A2-P8,
1130FT683 DUST CUP,TL-A2-P7,
500KKU620 Locking lid for 72oz,TL-A2-P7,
646KKU701 SPOUT LID,TL-A2-P7,
104KNK80 Perm coffee filter,TL-A2-P7,
101KKW090 WATER RESERVOIR,TL-A2-P7,
476KKU3000 Blade 5 fin,TL-A2-P7,
922FFJ200,TL-A2-P7,
1111F963AM Brush,TL-A2-P7,
280FFJ700 Motorized brush Rectangular opening,TL-A2-P7,
Batter door cover,TL-A2-P7,
105KY1000AE NAV auto-empty dock pod,,
105KY1000AE DOCK POD,,
1066FT-LA400 Stick,,
1073FI901 Vacuum cover?,,
1122FT317,,
1133FTV301Q Nozzle,,
1139FT683 Nozzle,,
1138FT680 HOSE HANDLE GREEN,,
113BH351 Thermo HOLDER,,
1141FT683 HOSE HANDLE BLUE,,
1154FT800 FILTER GRILL,,
1156FT801 FILTER GRILL,,
